name,officers,pop,state,pop per cop,coords,lat,lon
Union Springs Police Department,,,alabama,,0,34.961206,-87.203688
Selma Police Department,64.0,21000.0,alabama,328.125,0,32.4078632,-87.0207473
Homewood Police Department,65.0,25000.0,alabama,384.61538461538464,1,33.4717732,-86.8008228
Prattville Police Department,79.0,26000.0,alabama,329.11392405063293,0,32.4640245,-86.4596966
Greenville Police Department,30.0,12000.0,alabama,400.0,0,31.8295972,-86.6177517
Enterprise Police Department,46.0,22000.0,alabama,478.2608695652174,0,31.3151708,-85.8552161
Mountain Brook Police Department,53.0,20490.0,alabama,386.60377358490564,0,33.2588817,-86.8295337
Vestavia Hills Police Department,35.0,20300.0,alabama,580.0,0,33.4434407,-86.7833222
Hueytown Police Department,24.0,20000.0,alabama,833.3333333333334,0,33.458103,-86.9523327607997
Talladega Police Department,39.0,20000.0,alabama,512.8205128205128,0,33.4359416,-86.1058048
Madison Police Department,84.0,46200.0,alabama,550.0,0,34.7736807,-86.5675095
Athens Police Department,40.0,20000.0,alabama,500.0,0,34.745419,-86.9747954560397
Cullman Police Department,45.0,20250.0,alabama,450.0,0,34.1335332,-86.8779268
Pell City Police Department,28.0,17000.0,alabama,607.1428571428571,0,33.5862149,-86.2860888
Northport Police Department,47.0,30000.0,alabama,638.2978723404256,0,33.2292976,-87.5771286
Jacksonville Police Department,22.0,16000.0,alabama,727.2727272727273,0,33.8137163,-85.7613476
Ozark Police Department,45.0,16000.0,alabama,355.55555555555554,0,31.4584764,-85.6405865
Albertville Police Department,36.0,15300.0,alabama,425.0,0,34.2675937,-86.2088669
Lockhart Police Department,3.0,500.0,alabama,166.66666666666666,0,31.0104576,-86.3496691
Hurtsboro Police Department,6.0,1500.0,alabama,250.0,0,32.2418146,-85.4163327
Cleveland Police Department,3.0,1000.0,alabama,333.3333333333333,0,33.6895544,-87.6497344
Priceville Police Department,,,alabama,,0,34.5250932,-86.8947271
Webb Police Department,,,alabama,,0,31.2604534,-85.2732658
Napier Field Police Department,,,alabama,,0,31.3154506,-85.4541013
Woodstock Police Department,5.0,,alabama,,0,33.2067835,-87.1499961
Trafford Police Department,,,alabama,,0,33.8181563,-86.7427712
Steele Police Department,,,alabama,,0,33.9398202,-86.2016435
Summerdale Police Department,,,alabama,,0,30.4876954,-87.6997094
Taylor Police Department,,,alabama,,0,31.9754278,-86.2332965
Somerville Police Department,,,alabama,,0,34.4731491,-86.798612
Sipsey Police Department,,,alabama,,0,33.8248272,-87.0861125
Snead Police Department,7.0,1000.0,alabama,142.85714285714286,0,34.1195406,-86.3955398
Rockford Police Department,,,alabama,,0,32.8895681,-86.2196936
Shorter Police Department,,,alabama,,0,32.3965765,-85.9344790561422
Silverhill Police Department,,,alabama,,0,30.5454715,-87.7516559
Red Level Police Department,,,alabama,,0,31.418721,-86.568567
